word,trans,exp
"uike","【名詞】理解，解釈，捉え方","【語法】物事をどう捉えているかということ．
{uikee>}"
"uikee","【動詞】(物事，人物，事件などを)理解する，把握する","【語法】あるものが何であるかを捉えることができたということ．
{r}"
"uioi","【名詞】(言)助詞","{r|後置修飾語>i.s}"
"ukde-","【接頭辞】八の，やっつの",""
"uke","【名詞】丘，小山，こぶ，コブ，たんこぶ，タンコブ","【語法】傾斜が緩やかで，高さが低い山．同様に低くて丸くて傾斜の緩い突起に対して比喩的に用いることが出来る．
{r}"
"urgun","【記述詞】愚かな，馬鹿な
【対義語】ferivun","{r}"
"usoin","【記述詞】痩せた，やせた，細身の，細長い，長細い，ほっそりした，すらっとした，細い，細く
【類義語】gedin
【対義語】faton","【語義】身長，体長，全長に対して太さが小さい様．生物にも無生物にも用いる．価値判断を含まない．
{r}"
"ut'a","【名詞】(数)八，8","{r>i.s}"
"vage","【名詞】(軍)曹(伍長，軍曹，曹長にあたる)","【文化】下士官と曹の関係は下士官⊃曹だが，実質的には下士官=曹となっている．この二重構造は組織改編がし易い様にとの配慮による．
{a>i.s}"
"vande","【名詞】風","{a}"
"vandevar","【名詞】風車，かざぐるま","【語法】おもちゃの風車も，大型の風車もvandevar．
{vande+var}"
"var","【名詞】車輪，(ホイールを含む個別の)タイヤ","【語法】車軸を含まず，個別の円形部分を指す．
{u}"
"vasie","【名詞】願い，希望，(寝ている間のではなく，現実の目標としての)夢","{a}"
"vazen","【名詞】企画，草案，たくらみ，企み，企て
【対義語】feren","【語法】まだ採用されるか分からない草案を指す．
{r|展望>i.s}"
"vees-","【接頭辞】副～，次～
【関連】ek-","{a}"
"veesakser","【名詞】(対外的な)模擬選，練習試合，(軍)演習
【類義語】dirz'areakser","【参照】dirz'areakser"
"veesbizef","【名詞】(軍)少将",""
"veesdagun","【名詞】(軍)少尉",""
"veesvadasde","【名詞】(軍)少佐",""
"veesvedena","【名詞】衛星
【関連】seti，suputnik","【語法】語義通りには，副惑星という意味．日本語における衛星と同じ範囲を指し，小惑星は別の単語がある．
{vees+fedena}"
"venu","【名詞】物，モノ，こと，事
【対義語】fom","【語法】～な事，とか，～な物，という時に使う．
{u}"
"veria","【名詞】価値，価格，評価","{a|値}"
"verian","【記述詞】価値のある
【対義語】moverian",""
"vi","【名詞】(その物体の境界を出て)上
【関連】nih,sude
【対義語】siir","【語法】物体外部の上の方がvi，物体内部の上の方がsude，物体内部の下の方がnih，物体外部の下の方がsiir
{r}"
"vien","【記述詞】(物理的に，体や構造が)弱い，貧弱な
【類義語】torun
【対義語】kuen","【参照】kuen
{u}"
"vit'er","【名詞】夕方，日暮れ，夕暮れ時，日没","【参照】neer
{n:Ветер|夕暮れ>}"
"zad","【名詞】(数)ゼロ，0","{a>i.s}"
"z'aman","【名詞】土地，大地
【関連】fadis","【参照】fadis
{a}"
"z'amannih","【名詞】地下
【対義語】z'amanvi",""
"z'amanvi","【名詞】地上
【対義語】z'amannih","【語法】地面の上，接地している状態より上なので，空中でも含む．イメージとしては「地下ではない」と言った方が近い．
{z'aman+vi}"
"zardin","【法記述詞】(命令)～しろ，～せよ",""
"zarurkir","【名詞】教本，マニュアル，テクスト，テキスト","【文化】元は教典のみを指していたが，意味が一般化してこうなった．
{r:魔導書}"
"ze","【助詞】(前置)～ということ，～すること，～であるということ","【語法】動詞，記述詞，名詞および文に前置することで，節を作る．省略することも出来る．
【用例】
s'af dirin. |それは赤い．
ref ze s'a f dirin doren u sedoet. |私はそれが赤いことを知った．
{u}"
"zerin","【法記述詞】(状況的に)～できる
【類義語】sorin",""
"zik","【名詞】時間
【関連】tema","【語法】1日の中でのいつか，という感覚．もう少し長くなるとtema|期間を使う．
{r}"
"zuken","【文記述詞】(強調の)～だぞ，～だろ！",""
